sensitivity_case,scenario,label,delivered_diesel_cost_usd_per_mwh,hydrogen_capex_multiplier,outage_duration_hours,carbon_price_usd_per_t,total_annual_cost_usd,lcoe_usd_per_mwh_served,diesel_mwh,diesel_co2_t,carbon_cost_usd,eens_mwh,lpsp,critical_load_served_ratio,survivable_outage_duration_h,resilience_penalty_usd,resilience_adjusted_cost_usd,delta_cost_usd,battery_hydrogen_preferred_pure,delta_cost_resilience_adjusted_usd,battery_hydrogen_preferred_resilience
39,diesel_battery,PV + diesel + battery,200.0,0.3,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,106334.03716997709,False,-114949.62889252277,True
39,battery_hydrogen,PV + battery + hydrogen,200.0,0.3,48.0,150.0,2910939.3305046884,279.71283458339406,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,2910939.3305046884,106334.03716997709,False,-114949.62889252277,True
40,diesel_battery,PV + diesel + battery,200.0,0.35,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,181432.18746248493,False,-39851.47860001493,True
40,battery_hydrogen,PV + battery + hydrogen,200.0,0.35,48.0,150.0,2986037.4807971963,286.9290332413871,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,2986037.4807971963,181432.18746248493,False,-39851.47860001493,True
41,diesel_battery,PV + diesel + battery,200.0,0.4,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,256530.33775499277,False,35246.671692492906,False
41,battery_hydrogen,PV + battery + hydrogen,200.0,0.4,48.0,150.0,3061135.631089704,294.1452318993802,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3061135.631089704,256530.33775499277,False,35246.671692492906,False
42,diesel_battery,PV + diesel + battery,200.0,0.45,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,331628.4880475006,False,110344.82198500074,False
42,battery_hydrogen,PV + battery + hydrogen,200.0,0.45,48.0,150.0,3136233.781382212,301.36143055737324,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3136233.781382212,331628.4880475006,False,110344.82198500074,False
43,diesel_battery,PV + diesel + battery,200.0,0.5,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,406726.63834000845,False,185442.97227750858,False
43,battery_hydrogen,PV + battery + hydrogen,200.0,0.5,48.0,150.0,3211331.93167472,308.57762921536624,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3211331.93167472,406726.63834000845,False,185442.97227750858,False
44,diesel_battery,PV + diesel + battery,200.0,0.55,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,481824.7886325163,False,260541.12257001642,False
44,battery_hydrogen,PV + battery + hydrogen,200.0,0.55,48.0,150.0,3286430.0819672276,315.7938278733593,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3286430.0819672276,481824.7886325163,False,260541.12257001642,False
45,diesel_battery,PV + diesel + battery,200.0,0.6,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,556922.9389250241,False,335639.27286252426,False
45,battery_hydrogen,PV + battery + hydrogen,200.0,0.6,48.0,150.0,3361528.2322597355,323.01002653135237,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3361528.2322597355,556922.9389250241,False,335639.27286252426,False
46,diesel_battery,PV + diesel + battery,200.0,0.65,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,632021.089217532,False,410737.4231550321,False
46,battery_hydrogen,PV + battery + hydrogen,200.0,0.65,48.0,150.0,3436626.3825522433,330.2262251893454,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3436626.3825522433,632021.089217532,False,410737.4231550321,False
47,diesel_battery,PV + diesel + battery,200.0,0.7,48.0,150.0,2804605.2933347113,269.4951723195936,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,3025888.959397211,707119.2395100398,False,485835.57344753994,False
