sensitivity_case,scenario,label,delivered_diesel_cost_usd_per_mwh,outage_duration_hours,hydrogen_capex_multiplier,carbon_price_usd_per_t,total_annual_cost_usd,lcoe_usd_per_mwh_served,diesel_mwh,diesel_co2_t,carbon_cost_usd,eens_mwh,lpsp,critical_load_served_ratio,survivable_outage_duration_h,resilience_penalty_usd,resilience_adjusted_cost_usd,battery_hydrogen_minus_diesel_battery_usd,battery_hydrogen_preferred_to_diesel_battery
36,diesel_battery,PV + diesel + battery,380.0,12.0,1.0,300.0,4482183.914349951,430.6942271939661,6200.65198628,4340.456390396,1302136.9171187999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,4495260.432049951,1853639.120830386,False
36,battery_hydrogen,PV + battery + hydrogen,380.0,12.0,1.0,300.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,6348899.5528803365,1853639.120830386,False
37,diesel_battery,PV + diesel + battery,380.0,48.0,0.45,0.0,3180046.997231151,305.5715495136258,6200.65198628,4340.456390396,0.0,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,3354568.649493651,854929.0669932873,False
37,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,0.45,0.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4209497.716486938,854929.0669932873,False
38,diesel_battery,PV + diesel + battery,380.0,48.0,0.45,150.0,3831115.455790551,368.132888353796,6200.65198628,4340.456390396,651068.4585593999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,4005637.108053051,203860.60843388736,False
38,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,0.45,150.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4209497.716486938,203860.60843388736,False
39,diesel_battery,PV + diesel + battery,380.0,48.0,0.45,300.0,4482183.914349951,430.6942271939661,6200.65198628,4340.456390396,1302136.9171187999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,4656705.566612451,-447207.85012551304,True
39,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,0.45,300.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4209497.716486938,-447207.85012551304,True
40,diesel_battery,PV + diesel + battery,380.0,48.0,0.7,0.0,3180046.997231151,305.5715495136258,6200.65198628,4340.456390396,0.0,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,3354568.649493651,1827384.4471721048,False
40,battery_hydrogen,PV + battery + hydrogen,380.0,48.0,0.7,0.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,5181953.096665756,1827384.4471721048,False
41,diesel_battery,PV + diesel + battery,380.0,48.0,0.7,150.0,3831115.455790551,368.132888353796,6200.65198628,4340.456390396,651068.4585593999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,4005637.108053051,1176315.988612705,False
